time (us),gyro,sim ACC,mag,alt (m),temp,time (s),Senor Acc (m/s^2),Sensor Acc (gs)
0,0,4112,0,0.747,25.5,0,9.8112072,1.000123058
66250,0,4078,0,1.387,25.5,0.06625,9.8112072,1.000123058
132500,0,4107,0,0.179,25.5,0.1325,9.8112072,1.000123058
198750,0,4103,0,1.529,25.5,0.19875,9.8112072,1.000123058
265000,0,4096,0,0.698,25.5,0.265,9.8112072,1.000123058
331250,0,4099,0,0.061,25.5,0.33125,9.8112072,1.000123058
397500,0,4107,0,-3.201,25.5,0.3975,9.8112072,1.000123058
463750,0,4086,0,0.037,25.5,0.46375,9.8112072,1.000123058
530000,0,4101,0,0.126,25.5,0.53,9.8112072,1.000123058
596250,0,4091,0,0.37,25.5,0.59625,9.8112072,1.000123058
662500,0,4085,0,-1.298,25.5,0.6625,9.8112072,1.000123058
728750,0,4116,0,2.927,25.5,0.72875,9.8112072,1.000123058
795000,0,4090,0,-0.999,25.5,0.795,9.8112072,1.000123058
861250,0,4073,0,3.233,25.5,0.86125,9.8112072,1.000123058
927500,0,4084,0,-1.382,25.5,0.9275,9.8112072,1.000123058
993750,0,4099,0,5.747,25.5,0.99375,9.8112072,1.000123058
1060000,0,4073,0,-0.173,25.5,1.06,9.8112072,1.000123058
1126250,0,4095,0,0.96,25.5,1.12625,9.8112072,1.000123058
1192500,0,4094,0,2.08,25.5,1.1925,9.8112072,1.000123058
1258750,0,4085,0,-3.505,25.5,1.25875,9.8112072,1.000123058
1325000,0,4117,0,-0.578,25.5,1.325,9.8112072,1.000123058
1391250,0,4128,0,-2.956,25.5,1.39125,9.8112072,1.000123058
1457500,0,4110,0,0.075,25.5,1.4575,9.8112072,1.000123058
1523750,0,4069,0,-0.448,25.5,1.52375,9.8112072,1.000123058
1590000,0,4087,0,-0.637,25.5,1.59,9.8112072,1.000123058
1656250,0,4074,0,0.438,25.5,1.65625,9.8112072,1.000123058
1722500,0,4123,0,0.51,25.5,1.7225,9.8112072,1.000123058
1788750,0,4082,0,0.716,25.5,1.78875,9.8112072,1.000123058
1855000,0,4085,0,-4.174,25.5,1.855,9.8112072,1.000123058
1921250,0,4091,0,-1.678,25.5,1.92125,9.8112072,1.000123058
1987500,0,4077,0,1.157,25.5,1.9875,9.8112072,1.000123058
2053750,0,4059,0,-2.033,25.5,2.05375,9.8112072,1.000123058
2120000,0,4078,0,0.713,25.5,2.12,9.8112072,1.000123058
2186250,0,4092,0,0.489,25.5,2.18625,9.8112072,1.000123058
2252500,0,4083,0,6.043,25.5,2.2525,9.8112072,1.000123058
2318750,0,4097,0,-2.769,25.5,2.31875,9.8112072,1.000123058
2385000,0,4109,0,2.377,25.5,2.385,9.8112072,1.000123058
2451250,0,4093,0,0.382,25.5,2.45125,9.8112072,1.000123058
2517500,0,4097,0,-2.69,25.5,2.5175,9.8112072,1.000123058
