time (us),gyro,sim ACC,mag,alt (m),temp,time (s),Senor Acc (m/s^2),Sensor Acc (gs),,R1,R2
0,0,-4091,0,1.49,25.5,0,9.8112072,1.000123058,,-5.208343327,1.489860658
66250,0,-4105,0,-3.008,25.5,0.06625,9.8112072,1.000123058,,9.373185866,-3.008499133
132500,0,-4100,0,0.612,25.5,0.1325,9.8112072,1.000123058,,4.223161662,0.611547788
198750,0,-4091,0,-0.568,25.5,0.19875,9.8112072,1.000123058,,-4.519511817,-0.568243566
265000,0,-4112,0,-3.831,25.5,0.265,9.8112072,1.000123058,,15.60583914,-3.831493964
331250,0,-4102,0,0.524,25.5,0.33125,9.8112072,1.000123058,,6.234679625,0.523701283
397500,0,-4118,0,0.593,25.5,0.3975,9.8112072,1.000123058,,22.38667735,0.592585625
463750,0,-4106,0,-0.783,25.5,0.46375,9.8112072,1.000123058,,10.25274172,-0.782568973
530000,0,-4103,0,1.738,25.5,0.53,9.8112072,1.000123058,,7.366382775,1.738354015
596250,0,-4063,0,0.643,25.5,0.59625,9.8112072,1.000123058,,-32.60077311,0.642690003
662500,0,-4076,0,-0.311,25.5,0.6625,9.8112072,1.000123058,,-19.72667776,-0.310906391
728750,0,-4131,0,1.456,25.5,0.72875,9.8112072,1.000123058,,34.90717355,1.456125653
795000,0,-4114,0,1.061,25.5,0.795,9.8112072,1.000123058,,17.71211225,1.060854511
861250,0,-4100,0,-4.122,25.5,0.86125,9.8112072,1.000123058,,3.671649148,-4.12176013
927500,0,-4084,0,-1.518,25.5,0.9275,9.8112072,1.000123058,,-11.77776058,-1.518404572
993750,0,-4113,0,2.638,25.5,0.99375,9.8112072,1.000123058,,17.14706878,2.638375374
1060000,0,-4093,0,-0.657,25.5,1.06,9.8112072,1.000123058,,-2.705480422,-0.656806869
1126250,0,-4059,0,-0.645,25.5,1.12625,9.8112072,1.000123058,,-37.05658397,-0.644803332
1192500,0,-4083,0,2.754,25.5,1.1925,9.8112072,1.000123058,,-12.85526079,2.754452694
1258750,0,-4102,0,-1.932,25.5,1.25875,9.8112072,1.000123058,,5.930579452,-1.931596199
1325000,0,-4098,0,-2.914,25.5,1.325,9.8112072,1.000123058,,1.775148463,-2.913590876
1391250,0,-4103,0,0.302,25.5,1.39125,9.8112072,1.000123058,,7.257989187,0.301650229
1457500,0,-4103,0,0.194,25.5,1.4575,9.8112072,1.000123058,,7.182887177,0.193778719
1523750,0,-4080,0,-3.936,25.5,1.52375,9.8112072,1.000123058,,-15.55414277,-3.935704319
1590000,0,-4086,0,0.62,25.5,1.59,9.8112072,1.000123058,,-10.16727951,0.620256051
1656250,0,-4101,0,-2.035,25.5,1.65625,9.8112072,1.000123058,,4.574154299,-2.035018964
1722500,0,-4091,0,-0.411,25.5,1.7225,9.8112072,1.000123058,,-4.838980029,-0.411231159
1788750,0,-4105,0,2.677,25.5,1.78875,9.8112072,1.000123058,,8.676917471,2.676795606
1855000,0,-4103,0,-3.688,25.5,1.855,9.8112072,1.000123058,,6.506969691,-3.687699583
1921250,0,-4081,0,1.413,25.5,1.92125,9.8112072,1.000123058,,-14.62334277,1.412855745
1987500,0,-4091,0,-0.801,25.5,1.9875,9.8112072,1.000123058,,-4.511744082,-0.801228557
2053750,0,-4112,0,-1.563,25.5,2.05375,9.8112072,1.000123058,,16.40417889,-1.56255086
2120000,0,-4093,0,2.45,25.5,2.12,9.8112072,1.000123058,,-3.132259858,2.450058266
2186250,0,-4134,0,-2.954,25.5,2.18625,9.8112072,1.000123058,,37.82922818,-2.954175591
2252500,0,-4095,0,-4.692,25.5,2.2525,9.8112072,1.000123058,,-1.117280764,-4.69160176
2318750,0,-4083,0,-2.758,25.5,2.31875,9.8112072,1.000123058,,-12.51751596,-2.758117817
2385000,0,-4076,0,2.385,25.5,2.385,9.8112072,1.000123058,,-20.38466628,2.384750154
2451250,0,-4072,0,-3.371,25.5,2.45125,9.8112072,1.000123058,,-24.02139572,-3.371182361
2517500,0,-4087,0,-1.39,25.5,2.5175,9.8112072,1.000123058,,-8.518192123,-1.390348495
2583750,0,-4100,0,1.099,25.5,2.58375,9.8112072,1.000123058,,3.994946272,1.099177033
2650000,0,-4084,0,-2.059,25.5,2.65,9.8112072,1.000123058,,-11.72974117,-2.058786852
2716250,0,-4074,0,-3.711,25.5,2.71625,9.8112072,1.000123058,,-22.00866049,-3.711478155
2782500,0,-4064,0,-0.433,25.5,2.7825,9.8112072,1.000123058,,-31.68490598,-0.432964118
2848750,0,-4073,0,1.184,25.5,2.84875,9.8112072,1.000123058,,-23.38180777,1.184025799
2915000,0,-4098,0,-1.114,25.5,2.915,9.8112072,1.000123058,,2.320364493,-1.114026119
2981250,0,-4105,0,1.058,25.5,2.98125,9.8112072,1.000123058,,8.542439034,1.058061719
3047500,0,-4094,0,-0.77,25.5,3.0475,9.8112072,1.000123058,,-1.71952228,-0.769861169
3113750,0,-4105,0,2.631,25.5,3.11375,9.8112072,1.000123058,,9.286828468,2.630991022
3180000,0,-4124,0,-1.545,25.5,3.18,9.8112072,1.000123058,,28.37269679,-1.544938761
3246250,0,-4096,0,-0.041,25.5,3.24625,9.8112072,1.000123058,,-0.096229068,-0.040935502
3312500,0,-4089,0,-2.463,25.5,3.3125,9.8112072,1.000123058,,-7.272931009,-2.462666461
3378750,0,-4105,0,-3.184,25.5,3.37875,9.8112072,1.000123058,,9.47023904,-3.183656529
3445000,0,-4095,0,0.715,25.5,3.445,9.8112072,1.000123058,,-1.236625045,0.714856684
3511250,0,-4101,0,-3.536,25.5,3.51125,9.8112072,1.000123058,,5.193989799,-3.53621907
