,time (us),gyro,sim ACC,mag,alt (m),temp,time (s),Senor Acc (m/s^2),Sensor Acc (gs),,R1,R2,,realALT,,,,,,,,,,,,,
,0,0,2040,0,1.368,25.5,0,9.8112072,1.000123058,,-7.669797307,1.368287779,,0,,,,,,,,,,,,,
,66250,0,2051,0,0.978,25.5,0.06625,9.8112072,1.000123058,,2.756091818,0.977627993,,0,,,,,,,,,,,,,
,132500,0,2043,0,-0.217,25.5,0.1325,9.8112072,1.000123058,,-4.916025754,-0.217446761,,0,,,,,,,,,,,,,
,198750,0,2053,0,-0.762,25.5,0.19875,9.8112072,1.000123058,,5.605444735,-0.762263984,,0,,,,,,,,,,,,,
,265000,0,2044,0,0.251,25.5,0.265,9.8112072,1.000123058,,-3.384352655,0.251416923,,0,,,,,,,,,,,,,
,331250,0,2048,0,-0.941,25.5,0.33125,9.8112072,1.000123058,,0.398985964,-0.940855149,,0,,,,,,,,,,,,,
,397500,0,2081,0,-4.028,25.5,0.3975,9.8112072,1.000123058,,33.58702844,-4.02825032,,0,,,,,,,,,,,,,
,463750,0,2047,0,2.859,25.5,0.46375,9.8112072,1.000123058,,-0.309881078,2.859105109,,0,,,,,,,,,,,,,
,530000,0,2053,0,-2.111,25.5,0.53,9.8112072,1.000123058,,5.639855124,-2.110506295,,0,,,,,,,,,,,,,
,596250,0,2064,0,-0.292,25.5,0.59625,9.8112072,1.000123058,,16.33563831,-0.292185426,,0,,,,,,,,,,,,,
,662500,0,2043,0,-2.939,25.5,0.6625,9.8112072,1.000123058,,-4.930535186,-2.938547237,,0,,,,,,,,,,,,,
,728750,0,2043,0,-2.398,25.5,0.72875,9.8112072,1.000123058,,-4.361442569,-2.398248321,,0,,,,,,,,,,,,,
,795000,0,2063,0,-0.012,25.5,0.795,9.8112072,1.000123058,,15.02201007,-0.011587537,,0,,,,,,,,,,,,,
